,name,geom
0,AN1,0105000020BB0B000001000000010200000002000000F6285C8FC2F50140D578E92631C82740B81E85EB51B80540D578E92631C82740
1,AN2,0105000020BB0B000001000000010200000002000000E17A14AE47E10740D578E92631C82740713D0AD7A3F01140D578E92631C82740
2,AN3,0105000020BB0B000001000000010200000002000000AE47E17A142E1240D578E92631C827405C8FC2F528DC1740D578E92631C82740
3,AS1,0105000020BB0B0000010000000102000000020000000000000000000140D578E92631C8234052B81E85EB510D40D578E92631C82340
4,AS2,0105000020BB0B0000010000000102000000020000000AD7A3703D8A1040D578E92631C8234014AE47E17A941740D578E92631C82340
5,BN1,0105000020BB0B0000010000000102000000020000005C8FC2F5285C0640F0A7C64B37492040C3F5285C8FC20A40F0A7C64B37492040
6,BN2,0105000020BB0B0000010000000102000000020000006666666666660B40F0A7C64B374920403333333333B31240F0A7C64B37492040
7,BN3,0105000020BB0B000001000000010200000002000000C3F5285C8F421340F0A7C64B374920401F85EB51B89E1740F0A7C64B37492040
8,BS1,0105000020BB0B0000010000000102000000020000000000000000000140DF4F8D976E9218408FC2F5285C8F0940DF4F8D976E921840
9,BS2,0105000020BB0B000001000000010200000002000000F6285C8FC2F50940DF4F8D976E92184052B81E85EBD11740DF4F8D976E921840
10,CN1,0105000020BB0B000001000000010200000002000000295C8FC2F52801409A99999999991140F6285C8FC2F50D409A99999999991140
11,CN2,0105000020BB0B000001000000010200000002000000A4703D0AD7A30D409A9999999999114048E17A14AEC717409A99999999991140
12,CS1,0105000020BB0B000001000000010200000002000000295C8FC2F5280540333333333333034085EB51B81E0512403333333333330340
13,CS2,0105000020BB0B00000100000001020000000200000014AE47E17A9412403333333333330340F6285C8FC27514403333333333330340
14,CS3,0105000020BB0B000001000000010200000002000000C3F5285C8F421540333333333333034014AE47E17A9417403333333333330340
15,DN1,0105000020BB0B000001000000010200000002000000CDCCCCCCCC4C324052B81E85EBD12740C3F5285C8FC2324052B81E85EBD12740
16,DN2,0105000020BB0B0000010000000102000000020000008FC2F5285C0F334052B81E85EBD12740A4703D0AD723354052B81E85EBD12740
17,DN3,0105000020BB0B0000010000000102000000020000000AD7A3703D4A354052B81E85EBD12740C3F5285C8F02364052B81E85EBD12740
18,DS1,0105000020BB0B000001000000010200000002000000EC51B81E852B324052B81E85EBD12340D7A3703D0A97324052B81E85EBD12340
19,DS2,0105000020BB0B000001000000010200000002000000AE47E17A14EE324052B81E85EBD123405C8FC2F528DC334052B81E85EBD12340
20,DS3,0105000020BB0B0000010000000102000000020000005C8FC2F528DC334052B81E85EBD1234052B81E85EB51344052B81E85EBD12340
21,DS4,0105000020BB0B000001000000010200000002000000A4703D0AD763344052B81E85EBD12340000000000000364052B81E85EBD12340
22,EN1,0105000020BB0B00000100000001020000000200000052B81E85EB51324052B81E85EB51204048E17A14AEC7324052B81E85EB512040
23,EN2,0105000020BB0B000001000000010200000002000000CDCCCCCCCC0C334052B81E85EB512040D7A3703D0A17344052B81E85EB512040
24,EN3,0105000020BB0B000001000000010200000002000000666666666626344052B81E85EB5120405C8FC2F528DC344052B81E85EB512040
25,EN4,0105000020BB0B0000010000000102000000020000005C8FC2F528DC344052B81E85EB512040C3F5285C8F02364052B81E85EB512040
26,ES1,0105000020BB0B000001000000010200000002000000EC51B81E852B3240A4703D0AD7A318405C8FC2F5289C3240A4703D0AD7A31840
27,ES2,0105000020BB0B000001000000010200000002000000A4703D0AD7A33240A4703D0AD7A31840D7A3703D0A173440A4703D0AD7A31840
28,ES3,0105000020BB0B000001000000010200000002000000295C8FC2F5283440A4703D0AD7A31840C3F5285C8F023640A4703D0AD7A31840
29,FN1,0105000020BB0B000001000000010200000002000000EC51B81E852B32409A999999999911401F85EB51B8DE32409A99999999991140
30,FN2,0105000020BB0B000001000000010200000002000000713D0AD7A3F032409A99999999991140713D0AD7A37034409A99999999991140
31,FN3,0105000020BB0B000001000000010200000002000000713D0AD7A37034409A999999999911403D0AD7A370FD35409A99999999991140
32,FS1,0105000020BB0B000001000000010200000002000000B81E85EB5138324033333333333303405C8FC2F528DC32403333333333330340
33,FS2,0105000020BB0B000001000000010200000002000000C3F5285C8F023340333333333333034000000000008033403333333333330340
34,FS3,0105000020BB0B0000010000000102000000020000001F85EB51B89E33403333333333330340C3F5285C8F0236403333333333330340
